"Escolaridade";"1980";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"analfabeto";0;1;0;0;2;16;50;68;124;132;237;311;472;536;697;857;1049;1105;964;1096;1047;1087;959;919;847;749;542;595;629;680;718;674;685;596;518;488;471;420;398;85;20824
"1ª a 4ª série incompleta";0;1;3;4;20;80;322;724;1050;1585;2078;2903;3514;4011;4426;5104;5866;8010;7434;7369;6149;4415;3785;3638;3132;2805;2433;2575;2406;2331;2405;2384;2251;2060;1863;1548;1342;1240;1032;283;104581
"4ª série completa";0;1;0;1;0;1;3;5;5;9;5;15;16;22;31;30;64;79;96;200;165;275;334;353;457;803;2227;2099;1990;1787;1850;1777;1566;1496;1318;1086;943;842;685;191;22827
"5ª a 8ª série incompleta";0;0;3;19;62;112;362;718;1133;1732;2428;3286;3961;4291;5125;5926;6924;6799;6225;6828;7242;8233;8563;8174;7572;6877;5242;5279;5301;5263;5277;5250;5285;4649;3953;3570;3275;2836;2409;645;160829
"fundamental completo";0;0;0;0;0;4;3;7;3;13;16;23;25;35;50;86;114;146;176;245;285;399;453;552;708;1265;3115;3093;3026;3047;2972;2935;3018;2625;2280;2102;1948;1731;1462;424;38386
"médio incompleto";1;2;6;13;56;125;336;608;817;1211;1714;2138;2560;2805;3173;3371;3728;4177;3936;4165;4439;5196;5356;5360;4873;4199;1782;1951;1861;1902;1956;2026;1964;1858;1712;1617;1545;1343;1223;378;87483
"médio completo";0;1;1;2;3;3;9;11;7;16;26;32;43;60;60;96;154;232;217;260;301;450;474;585;814;1147;3026;3749;4044;4447;4844;5388;5660;5468;4988;4706;4556;4265;3863;1171;65179
"superior incompleto";0;1;0;0;0;1;2;3;2;4;4;0;4;3;13;21;21;31;28;52;50;54;73;100;150;238;573;674;803;956;1054;1202;1388;1386;1296;1162;1205;1104;852;242;14752
"superior completo";0;1;8;27;104;209;437;689;953;1252;1394;1667;1556;1503;1576;1765;1695;1916;1710;1699;1643;1901;2047;2078;2252;1985;1285;1436;1637;1772;2067;2254;2319;2273;2167;1963;2025;1835;1591;482;57173
"não se aplica";0;0;0;3;6;12;52;98;125;187;248;338;376;537;665;808;891;845;797;692;726;749;797;603;608;457;357;353;325;327;285;307;268;238;181;183;179;143;116;22;13904
"Total";1;8;21;69;253;563;1576;2931;4219;6141;8150;10713;12527;13803;15816;18064;20506;23340;21583;22606;22047;22759;22841;22362;21413;20525;20582;21804;22022;22512;23428;24197;24404;22649;20276;18425;17489;15759;13631;3923;585938