"Fx. Etária(SINAN)";"1980";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"< 1 ano";0;2;0;4;7;1;29;60;63;106;145;179;203;280;336;440;410;382;347;400;369;336;333;338;330;295;287;277;269;270;282;236;211;200;188;150;147;128;144;36;8220
"1-4";0;0;0;3;3;8;21;41;56;74;108;147;165;244;315;378;463;504;470;563;571;786;650;469;492;379;332;337;325;310;219;288;261;218;187;207;183;158;136;39;10110
"5-9";0;0;0;1;5;6;12;16;25;32;35;38;45;60;80;110;130;135;169;228;269;506;446;436;372;301;273;247;206;195;165;124;122;118;94;77;76;79;88;18;5339
"10-14";0;1;0;3;6;9;22;27;39;36;42;34;39;47;49;51;63;61;61;86;105;193;164;195;207;187;229;233;200;176;195;160;147;114;89;79;75;68;55;11;3558
"15-19";0;0;1;7;27;49;127;210;245;358;437;398;402;405;450;407;498;595;522;628;603;673;674;650;572;618;606;699;726;721;814;901;992;1043;1036;976;909;795;772;260;20806
"20-34";1;10;26;64;259;590;1480;2410;3356;4916;6709;8299;9491;10152;11176;12615;13592;14625;12946;16822;15809;16929;16085;15829;15356;14898;15228;16121;16204;16258;16955;17085;17527;16943;16491;15677;15802;15323;15061;4985;440105
"35-49";0;2;12;42;188;379;820;1292;1809;2574;3304;4289;4988;5685;6918;8017;8892;10259;9796;14311;13832;16015;15768;15991;16142;16109;16391;17165;16983;16430;17379;16738;16651;16117;15432;14845;13994;14035;13723;4330;387647
"50-64";0;2;2;7;32;70;155;241;366;473;634;740;955;1000;1270;1439;1687;1989;1924;3027;2954;3498;3585;3914;4224;4287;4725;5418;5500;5644;5908;6072;6414;6406;6420;6329;6191;6215;6067;1880;117664
"65-79";0;0;0;1;2;2;25;37;43;60;84;90;98;133;181;203;208;270;258;398;406;440;462;503;502;538;605;682;738;736;800;812;978;904;994;1010;1076;1145;1177;302;16903
"80 e mais";0;0;0;1;0;0;2;1;3;5;1;3;5;4;5;4;4;11;16;19;23;21;18;29;30;31;36;45;41;35;55;63;65;72;64;75;82;94;85;19;1067
"ignorado";0;0;1;1;5;6;10;13;3;16;18;20;22;18;31;6;7;7;5;1;1;1;0;1;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;198
"Total";1;17;42;134;534;1120;2703;4348;6008;8650;11517;14237;16413;18028;20811;23670;25954;28838;26514;36483;34942;39398;38185;38355;38230;37643;38712;41225;41192;40775;42772;42480;43368;42135;40995;39425;38535;38040;37308;11880;1011617